ProductName,URL,Brand,Price,ImageURL
Solid Shoulder Straps Cotton Womens Short Length Dungarees - Pale Pink,https://www.shoppersstop.com/lovegen-solid-shoulder-straps-cotton-womens-short-length-dungarees/p-S21LG2GENPLPINK/colorChange/S21LG2GENPLPINK_PALE_PINK,LOVEGEN,1499,https://sslimages.shoppersstop.com/sys-master/images/h9a/h98/16848932306974/S21LG2GENPLPINK_PALE_PINK.jpg_230Wx334H
Printed Sleeveless Viscose Women Above Knee Jumpsuit - Green,https://www.shoppersstop.com/vero-moda-printed-sleeveless-viscose-women-above-knee-jumpsuit/p-A21VM10261302/colorChange/A21VM10261302_GREEN,VERO MODA,2999,https://sslimages.shoppersstop.com/sys-master/images/h83/h0d/17492655144990/A21VM10261302_GREEN.jpg_230Wx334H
Womens Fit And Flare Knowing The World Cut Out Jumpsuit Black - Black,https://www.shoppersstop.com/dolce-crudo-womens-fit-and-flare-knowing-the-world-cut-out-jumpsuit-black/p-A20DOLAW19D0419/colorChange/A20DOLAW19D0419_BLACK,DOLCE CRUDO,1249,https://sslimages.shoppersstop.com/sys-master/images/h2e/hac/15663245230110/A20DOLAW19D0419_BLACK.jpg_230Wx334H
Striped 3/4Th Sleeves Cotton Womens Ankle Length Jumpsuit - Black,https://www.shoppersstop.com/gipsy-striped-3-4th-sleeves-cotton-womens-ankle-length-jumpsuit/p-206423469/colorChange/206423469_BLACK,GIPSY,1497,https://sslimages.shoppersstop.com/sys-master/images/hb4/ha0/16903984513054/206423469_BLACK.jpg_230Wx334H
Womens V-Neck Printed Jumpsuit - Brown,https://www.shoppersstop.com/marie-claire-womens-v-neck-printed-jumpsuit/p-203948121/colorChange/203948121_BROWN,MARIE CLAIRE,959,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/D93C889CDBEA4B33BE03D1DE649B3FCE/203948121_9126_D93C889CDBEA4B33BE03D1DE649B3FCE.jpg
Checks Roll Up Sleeves Polyester Womens Above Knee Length Playsuit - Black,https://www.shoppersstop.com/zink-london-checks-roll-up-sleeves-polyester-womens-above-knee-length-playsuit/p-S21ZINKD01476/colorChange/S21ZINKD01476_BLACK,ZINK LONDON,919,https://sslimages.shoppersstop.com/sys-master/images/hfa/h40/17027122921502/S21ZINKD01476_BLACK.jpg_230Wx334H
Womens Regular Fit Printed V Neck Jumpsuit - Brown,https://www.shoppersstop.com/zink-london-womens-regular-fit-printed-v-neck-jumpsuit/p-S21ZINKD01453/colorChange/S21ZINKD01453_BROWN,ZINK LONDON,839,https://sslimages.shoppersstop.com/sys-master/images/h30/hb0/16296696578078/S21ZINKD01453_BROWN.jpg_230Wx334H
Womens Orange Printed Jumpsuit - Peach,https://www.shoppersstop.com/crimsoune-club-womens-orange-printed-jumpsuit/p-A20CRCJS50007PE/colorChange/A20CRCJS50007PE_PEACH,CRIMSOUNE CLUB,1199,https://sslimages.shoppersstop.com/sys-master/images/he1/h5a/16071511867422/A20CRCJS50007PE_PEACH.jpg_230Wx334H
Womens Band Collar Floral Printed Jumpsuit - Navy,https://www.shoppersstop.com/gipsy-womens-band-collar-floral-printed-jumpsuit/p-206106129/colorChange/206106129_NAVY_BLUE,GIPSY,1397,https://sslimages.s3-ap-southeast-1.amazonaws.com/sys-master/images/h77/hcb/13480405631006/206106129_9324.jpg_230Wx334H
Womens V Neck Stripe Tie Up Jumpsuit - Blush,https://www.shoppersstop.com/madame-womens-v-neck-stripe-tie-up-jumpsuit/p-205560635/colorChange/205560635_BLUSH,MADAME,1349,https://sslimages.shoppersstop.com/sys-master/images/h86/h61/12794270679070/205560635_9555.jpg_230Wx334H
